Overall,Preparation,Gaming,Attendance,Extra
3.09,1,2,2,0
3.17,1,0,2,1
3.5,1,2,1,0
3.5,0,0,2,1
3.5,2,0,2,1
3.6,1,2,2,1
3.67,1,2,2,1
3.78,1,0,2,1
3.8,0,2,2,1
4.0,0,1,2,1
3.69,2,1,2,1
3.79,0,1,1,1
2.85,2,2,2,0
3.31,0,1,3,1
3.56,2,2,2,1
3.68,0,2,2,1
3.88,1,1,2,1
3.94,1,0,2,1
3.1,2,1,0,1
3.67,1,1,1,1
3.56,0,1,0,0
3.75,2,1,2,1
3.86,2,1,2,1
