Department,Gender,HSC,SSC,Income,Hometown,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall
1,1,4.25,5.0,5,0,3,1,1,1,0,4,0,3,3.38,3.38
1,0,3.58,5.0,8,1,5,1,1,1,0,2,1,3,3.38,3.38
1,0,4.17,4.83,5,1,3,1,1,1,0,3,0,3,3.38,3.38
1,1,3.42,4.68,5,1,5,1,1,1,0,2,1,3,3.38,3.38
1,1,3.67,4.89,3,1,3,0,0,2,1,4,1,0,3.3,3.39
1,1,4.5,4.75,5,1,1,1,2,2,0,4,1,8,3.83,3.39
1,0,4.5,4.75,8,1,3,2,2,2,0,4,0,9,3.27,3.43
1,0,4.83,5.0,0,0,2,1,1,2,0,4,0,1,3.56,3.44
1,1,4.33,5.0,3,1,3,1,2,1,0,5,1,0,3.6,3.44
1,1,4.33,5.0,0,1,3,1,2,1,0,5,1,9,3.59,3.44
1,0,4.55,5.0,0,0,5,1,1,1,0,3,0,3,3.44,3.44
1,1,4.25,4.89,3,0,5,1,1,1,0,4,0,3,3.44,3.44
1,1,3.92,5.0,5,0,3,1,1,1,0,3,0,3,3.44,3.44
1,0,4.75,5.0,8,1,1,0,2,1,0,1,0,1,3.52,3.45
1,1,4.5,4.75,8,1,1,2,2,1,0,4,0,4,2.92,3.46
1,1,5.0,5.0,5,0,5,0,2,2,0,4,1,3,3.48,3.48
1,1,3.5,4.8,0,0,5,0,2,0,0,5,1,1,3.02,3.5
1,0,5.0,5.0,5,0,4,1,2,2,1,5,1,5,2.07,3.5
1,1,4.53,4.75,5,1,1,0,2,2,0,4,1,0,3.0,3.5
1,1,4.42,4.88,3,1,4,0,1,2,0,3,0,0,3.76,3.5
1,1,4.58,5.0,0,1,4,0,1,2,0,4,0,10,3.7,3.5
1,0,3.5,4.81,5,1,4,2,2,2,0,5,1,10,3.8,3.5
1,1,5.0,5.0,8,0,5,0,2,2,0,5,1,9,4.0,3.5
1,1,4.58,5.0,5,0,1,0,1,2,0,5,1,9,3.78,3.5
1,0,4.83,5.0,0,0,3,0,0,2,0,3,1,8,3.83,3.5
1,0,4.33,5.0,1,0,3,2,2,2,0,5,1,8,3.81,3.5
1,0,4.25,5.0,8,1,5,2,2,2,0,5,1,7,3.81,3.5
1,1,4.33,5.0,4,1,4,0,1,2,0,4,0,7,3.75,3.5
1,1,3.75,4.67,8,1,3,0,0,2,0,3,1,6,3.83,3.5
1,1,4.58,5.0,0,1,3,0,1,2,0,3,0,6,3.75,3.5
1,0,3.67,4.61,0,0,3,1,1,1,0,3,0,3,3.5,3.5
1,0,3.75,4.78,8,1,3,1,1,1,0,3,0,3,3.5,3.5
1,1,4.17,4.94,3,1,3,1,1,1,0,3,0,3,3.5,3.5
1,1,4.0,5.0,5,1,3,1,1,1,0,4,0,3,3.5,3.5
1,1,3.75,4.61,4,1,3,1,1,1,0,3,0,3,3.5,3.5
1,1,4.08,5.0,0,0,5,1,1,1,0,3,0,3,3.5,3.5
1,0,4.33,4.94,5,0,5,1,1,1,0,3,0,3,3.5,3.5
1,1,4.57,5.0,5,1,5,0,0,2,0,5,0,1,3.92,3.54
1,0,4.5,4.75,5,1,1,2,2,2,0,5,0,0,3.42,3.55
1,1,4.52,4.75,5,1,1,2,2,2,0,3,0,0,3.42,3.55
1,1,3.58,5.0,3,1,3,1,2,1,0,5,1,10,3.57,3.56
1,0,4.17,5.0,9,1,4,1,2,1,0,3,1,3,3.56,3.56
1,0,4.25,5.0,5,1,5,1,2,1,0,5,1,3,3.56,3.56
1,1,4.33,5.0,0,1,3,1,2,1,0,5,1,3,3.56,3.56
1,0,3.83,4.59,5,0,3,1,2,1,0,3,1,3,3.56,3.56
1,1,4.17,4.59,8,1,3,1,2,1,0,4,0,3,3.56,3.56
1,0,4.17,5.0,4,1,3,1,2,1,0,3,1,3,3.56,3.56
1,1,4.0,5.0,0,1,5,1,2,1,0,3,1,3,3.56,3.56
1,0,4.0,5.0,0,0,3,1,2,1,0,3,1,3,3.56,3.56
1,0,4.42,5.0,1,0,4,1,2,1,0,4,0,3,3.56,3.56
1,1,3.92,4.18,0,0,5,1,2,1,0,3,1,3,3.56,3.56
1,1,5.0,5.0,3,1,1,0,2,2,0,1,0,5,3.64,3.6
1,0,3.83,5.0,0,0,5,1,2,1,0,3,1,0,3.61,3.6
1,1,5.0,5.0,3,1,3,1,2,1,0,5,1,0,3.62,3.6
1,1,3.92,3.94,5,0,5,1,2,1,0,3,1,10,3.64,3.6
1,1,3.67,4.44,1,1,5,1,2,1,0,3,1,7,3.63,3.6
1,1,5.0,5.0,8,0,4,2,1,2,1,5,1,5,3.66,3.61
1,0,4.16,4.67,8,0,3,1,2,2,0,3,1,0,3.66,3.62
1,1,4.83,5.0,5,0,3,1,2,1,0,3,1,3,3.63,3.63
1,0,4.25,5.0,5,0,5,1,2,1,0,3,1,3,3.63,3.63
1,1,4.5,5.0,5,1,3,0,1,2,0,4,0,1,3.88,3.64
1,1,3.5,4.72,1,0,3,1,2,1,0,3,1,3,3.64,3.64
1,0,3.75,5.0,3,1,5,1,0,2,0,4,1,1,3.71,3.65
1,0,5.0,5.0,8,0,3,1,0,2,1,3,0,5,3.6,3.65
1,1,4.42,5.0,0,0,4,1,2,2,0,4,0,0,3.53,3.67
1,1,4.5,5.0,8,0,5,1,1,1,0,3,0,0,3.5,3.67
1,1,4.42,5.0,8,1,5,1,2,1,0,5,1,0,3.55,3.67
1,1,3.17,4.31,0,1,4,1,1,1,0,3,0,10,3.5,3.67
1,0,3.67,4.38,8,1,3,1,2,2,0,4,0,9,3.52,3.67
1,1,3.83,4.94,8,0,4,1,1,1,0,3,0,9,3.51,3.67
